Month,Groceries (₹),Rent (₹),Transportation (₹),Gym (₹),Utilities (₹),Healthcare (₹),Investments (₹),Savings (₹),EMI/Loans (₹),Dining & Entertainment (₹),Shopping & Wants (₹),Total Expenditure (₹),Income (₹)
2020-01-01,4860,10000,2595,888,1520,1930,4311,4232,0,3138,1121,30363,40000
2020-02-01,6135,10000,2371,851,1630,1923,5939,7329,0,3185,2332,34366,40000
2020-03-01,6853,10000,2715,1143,1776,1185,4700,3625,0,2684,1459,32515,36000
2020-04-01,6904,10000,2582,869,1975,1274,4420,6426,0,2475,2806,33305,36000
2020-05-01,4562,10000,3028,830,1984,1631,4410,3647,0,2146,1020,29611,36000
2020-06-01,4600,10000,1513,941,2276,1115,4392,4039,0,2863,1091,28791,36000
2020-07-01,6556,10000,3466,734,1705,1575,4792,4722,0,3455,2585,34868,36000
2020-08-01,6613,10000,3295,1009,1976,1929,4995,6982,0,2202,1401,33420,36000
2020-09-01,5981,10000,1769,1050,2315,1795,3952,3762,0,1955,2485,31302,36000
2020-10-01,6343,10000,3272,1037,2378,1519,4242,4611,0,2576,1791,33158,36000
2020-11-01,4379,10000,2564,856,1514,1292,5376,6380,0,1564,2880,30425,36000
2020-12-01,6027,10000,2995,762,1638,1447,4880,6444,0,3022,1592,32363,36000
2021-01-01,4378,10000,2517,740,1527,1030,4721,4791,0,3682,1200,29795,36000
2021-02-01,4502,10000,3097,915,2304,1206,4747,6793,0,3646,1683,32100,36000
2021-03-01,4960,10000,3466,1161,2142,1412,4024,4521,0,2528,2241,31934,36000
2021-04-01,6842,10000,1706,714,2357,1192,4387,7069,0,2984,2714,32896,43200
2021-05-01,4563,10000,1595,1087,2233,1820,5486,5197,0,3778,1748,32310,43200
2021-06-01,6572,10000,3362,886,1742,1983,5668,5597,0,3319,1577,35109,43200
2021-07-01,6693,10000,2551,807,2055,1595,6227,5721,0,2863,2821,35612,43200
2021-08-01,6038,10000,2748,1084,1876,989,4321,5843,0,2806,2981,32843,43200
2021-09-01,5282,10000,2979,1110,2148,1509,5815,5483,0,1817,2700,33360,43200
2021-10-01,4663,10000,3353,1196,1941,1936,4863,6468,0,2063,2291,32306,43200
2021-11-01,5636,10000,2604,886,1612,1751,5207,4462,0,1501,1641,30838,43200
2021-12-01,5759,10000,2926,825,1629,1184,5287,6708,0,2576,2707,32893,43200
2022-01-01,6294,10000,2962,902,1683,1635,6547,6565,0,1622,1400,33045,48000
2022-02-01,6931,10000,2481,1094,2010,997,5161,7239,0,3691,1608,33973,48000
2022-03-01,6511,10000,2263,1142,2431,1459,6029,5887,0,3950,2369,36154,48000
2022-04-01,6911,10000,2428,1123,2139,1288,5130,6437,0,3885,1871,34775,48000
2022-05-01,6520,10000,2938,1177,1797,950,6383,8722,0,3134,1262,34161,48000
2022-06-01,5016,10000,1501,1084,1803,1680,6139,9036,0,3801,2675,33699,48000
2022-07-01,6056,10000,3182,1003,1707,1922,6929,8543,0,2654,1403,34856,48000
2022-08-01,4627,10000,3148,1155,1919,1386,6255,4844,0,2945,1103,32538,48000
2022-09-01,6557,10000,1652,1048,2413,898,6116,8121,0,3419,1877,33980,48000
2022-10-01,4956,10000,3103,988,1897,960,6591,7918,0,2800,1815,33110,48000
2022-11-01,5158,10000,2139,732,2187,1200,5682,6072,0,1959,1954,31011,48000
2022-12-01,6797,10000,1729,1064,2062,837,6314,8615,0,3985,2799,35587,48000
2023-01-01,4797,10000,2378,1147,1980,1083,6533,6147,0,1952,2019,31889,48000
2023-02-01,4546,10000,3035,716,1671,1872,7089,9191,0,2743,1157,32829,48000
2023-03-01,6146,10000,1779,1048,1996,1860,6173,9505,0,1801,1180,31983,48000
2023-04-01,5139,10000,1752,1168,2427,990,6487,6549,0,3506,2184,33653,56000
2023-05-01,5816,10000,2069,1022,2371,1365,7479,7608,0,2125,2311,34558,56000
2023-06-01,4154,10000,2909,1173,2284,1289,7147,7260,0,1745,2199,32900,56000
2023-07-01,4537,10000,1907,712,2327,1720,7004,10070,0,3029,1902,33138,56000
2023-08-01,6368,10000,1899,841,2471,1311,5677,8841,0,3406,1470,33443,56000
2023-09-01,5823,10000,3482,1041,1550,1526,6402,8908,0,2074,2213,34111,56000
2023-10-01,6352,10000,2337,970,1553,1481,7062,9911,0,3991,1612,35358,56000
2023-11-01,6004,13000,2719,961,2376,2626,6751,9517,0,2491,1883,38811,56000
2023-12-01,8983,13000,1768,1069,2135,2155,5714,7833,0,2629,2693,40146,56000
2024-01-01,7810,13000,3474,1045,2240,2581,7940,9497,6000,1616,2853,48559,56000
2024-02-01,7012,13000,2133,700,2250,2581,5862,6624,6000,2619,2661,44818,56000
2024-03-01,6896,13000,2712,1186,2203,2795,7312,7949,6000,2970,1580,46654,56000
2024-04-01,6153,13000,2496,785,2196,2958,6701,8393,6000,2743,2092,45124,64000
2024-05-01,6957,13000,1952,903,2411,2511,7973,9430,6000,3765,1473,46945,64000
2024-06-01,7312,13000,3257,1056,1522,2777,9437,12074,6000,3285,1521,49167,64000
2024-07-01,8809,13000,3131,956,1824,1941,6625,10511,6000,2015,2039,46340,64000
2024-08-01,6496,13000,1659,1174,2351,2395,7642,10517,6000,3187,2931,46835,64000
2024-09-01,6956,13000,2950,800,1767,2190,9297,7653,6000,2940,2191,48091,64000
2024-10-01,8444,13000,3130,1001,2397,1511,7476,10596,6000,2253,1034,46246,64000
2024-11-01,8652,13000,3125,1117,1614,2469,6778,10859,6000,2116,2926,47797,64000
2024-12-01,7516,13000,1912,1075,1919,2598,9496,9907,6000,2228,2300,48044,64000
2025-01-01,7892,13000,2419,891,2238,1956,7590,11369,6000,2622,2571,47179,64000
2025-02-01,7687,13000,2713,923,1536,2162,8814,7059,0,3048,1278,41161,64000
2025-03-01,7296,13000,2095,1067,2228,1561,9265,8890,0,2865,1396,40773,64000
2025-04-01,6395,13000,2756,1102,1575,1944,9461,10731,0,1764,1454,39451,64000
2025-05-01,6850,13000,1643,1072,1568,2890,8171,7761,0,1895,2048,39137,64000
2025-06-01,7167,13000,2562,808,2192,2068,6584,9916,0,2565,2209,39155,64000
2025-07-01,7156,13000,2738,920,1734,2686,8601,11756,0,2250,1587,40672,64000
2025-08-01,8960,13000,2753,706,1673,2776,6632,11659,0,3176,2191,41867,64000
2025-09-01,8681,13000,3040,728,1664,2717,8260,11924,0,2945,1338,42373,64000
